,Unnamed: 0,Movie Title,Gross Revenue (USD),Genre,tconst,Runtime (min),IMDB Rating,Worldwide Box Office (USD)
101,125,Ralph Breaks the Internet,"$201,091,711","Animation, Adventure, Comedy",tt5848272,112.0,7.1,"$529,323,962"
102,126,Tangled,"$200,821,936","Animation, Adventure, Comedy",tt0398286,100.0,7.8,"$592,461,732"
103,127,Godzilla,"$200,676,069","Action, Adventure, Sci-Fi",tt0831387,123.0,6.4,"$524,976,069"
104,128,Spectre,"$200,074,175","Action, Adventure, Thriller",tt2379713,148.0,6.8,"$880,674,609"
105,129,Mission: Impossible - Rogue Nation,"$195,042,377","Action, Adventure, Thriller",tt2381249,131.0,7.4,"$682,714,267"
106,130,22 Jump Street,"$191,719,337","Action, Comedy, Crime",tt2294449,112.0,7.0,"$331,333,876"
107,131,Cars 2,"$191,452,396","Animation, Adventure, Comedy",tt1216475,106.0,6.2,"$559,852,396"
108,132,Teenage Mutant Ninja Turtles,"$191,204,754","Action, Adventure, Comedy",tt1291150,101.0,5.8,"$485,004,754"
109,133,Spider-Man: Into the Spider-Verse,"$190,241,310","Animation, Action, Adventure",tt4633694,117.0,8.5,"$375,540,831"
110,134,Wreck-It Ralph,"$189,422,889","Animation, Adventure, Comedy",tt1772341,101.0,7.7,"$471,222,889"
111,135,Dunkirk,"$188,373,161","Action, Drama, History",tt5013056,106.0,7.9,"$525,245,546"
112,136,A Quiet Place,"$188,024,361","Drama, Horror, Sci-Fi",tt6347308,80.0,6.6,"$340,939,361"
113,138,Interstellar,"$188,020,017","Adventure, Drama, Sci-Fi",tt0816692,169.0,8.6,"$677,463,813"
114,139,The Croods,"$187,168,425","Animation, Action, Adventure",tt0481499,98.0,7.2,"$587,204,668"
115,140,Sherlock Holmes: A Game of Shadows,"$186,848,418","Action, Adventure, Mystery",tt1515091,129.0,7.5,"$543,848,418"
116,141,Pitch Perfect 2,"$184,296,230","Comedy, Music",tt2848292,115.0,6.4,"$287,144,079"
117,142,The Revenant,"$183,637,894","Action, Adventure, Biography",tt1663202,156.0,8.0,"$532,950,503"
118,144,Lincoln,"$182,207,973","Biography, Drama, History",tt0443272,150.0,7.4,"$275,293,450"
119,145,Thor,"$181,030,624","Action, Adventure, Fantasy",tt0800369,115.0,7.0,"$449,326,618"
120,146,Ant-Man,"$180,202,163","Action, Adventure, Comedy",tt0478970,117.0,7.3,"$519,311,965"
121,147,Men in Black 3,"$179,020,854","Action, Adventure, Comedy",tt1409024,106.0,6.8,"$624,026,776"
122,148,Home,"$177,397,510","Animation, Adventure, Comedy",tt2075392,76.0,6.0,"$386,041,607"
123,156,How to Train Your Dragon 2,"$177,002,924","Animation, Action, Adventure",tt1646971,102.0,7.8,"$621,537,519"
124,157,Rise of the Planet of the Apes,"$176,760,185","Action, Drama, Sci-Fi",tt1318514,105.0,7.6,"$481,800,873"
125,158,Captain America: The First Avenger,"$176,654,505","Action, Adventure, Sci-Fi",tt0458339,124.0,6.9,"$370,569,774"
126,159,The Karate Kid,"$176,591,618","Action, Drama, Family",tt1155076,140.0,6.2,"$359,126,022"
127,160,Get Out,"$176,040,665","Horror, Mystery, Thriller",tt5052448,104.0,7.7,"$255,407,969"
128,161,The Lego Batman Movie,"$175,750,384","Animation, Action, Comedy",tt4116284,104.0,7.3,"$311,950,384"
129,162,Us,"$175,084,580","Horror, Mystery, Thriller",tt2708782,92.0,5.3,"$255,184,580"
130,165,The Boss Baby,"$175,003,033","Animation, Adventure, Comedy",tt3874544,97.0,6.3,"$527,965,936"
131,166,Crazy Rich Asians,"$174,532,921","Comedy, Drama, Romance",tt3104988,120.0,7.0,"$238,532,921"
132,167,The Greatest Showman,"$174,340,174","Biography, Drama, Musical",tt1485796,105.0,7.6,"$434,993,183"
133,168,Pirates of the Caribbean: Dead Men Tell No Tales,"$172,558,876","Action, Adventure, Fantasy",tt1790809,129.0,6.6,"$794,861,794"
134,169,TRON: Legacy,"$172,062,763","Action, Adventure, Sci-Fi",tt1104001,125.0,6.8,"$400,062,763"
135,170,Mary Poppins Returns,"$171,958,438","Comedy, Family, Fantasy",tt5028340,130.0,6.9,"$349,537,494"
136,171,True Grit,"$171,243,005","Drama, Western",tt1403865,110.0,7.6,"$252,276,927"
137,172,John Wick: Chapter 3 - Parabellum,"$171,015,687","Action, Crime, Thriller",tt6146586,131.0,8.0,"$326,709,727"
138,173,The Help,"$169,708,112",Drama,tt1454029,146.0,8.1,"$216,639,112"
139,174,Hotel Transylvania 2,"$169,700,110","Animation, Comedy, Family",tt2510894,89.0,6.7,"$474,800,000"
140,175,Hidden Figures,"$169,607,287","Biography, Drama, History",tt4846340,127.0,7.8,"$235,956,898"
141,176,Bridesmaids,"$169,106,725","Comedy, Romance",tt1478338,125.0,6.8,"$288,383,523"
142,177,Kong: Skull Island,"$168,052,812","Action, Adventure, Fantasy",tt3731562,118.0,6.6,"$566,652,812"
143,178,Gone Girl,"$167,767,189","Drama, Mystery, Thriller",tt2267998,149.0,8.1,"$369,330,363"
144,179,Hotel Transylvania 3: Summer Vacation,"$167,510,016","Animation, Adventure, Comedy",tt5220122,97.0,6.3,"$528,583,774"
145,180,Fifty Shades of Grey,"$166,167,230","Drama, Romance, Thriller",tt2322441,125.0,4.1,"$569,651,467"
146,181,Knives Out,"$165,359,751","Comedy, Crime, Drama",tt5961976,90.0,4.8,"$309,232,797"
147,182,Kung Fu Panda 2,"$165,249,063","Animation, Action, Adventure",tt1302011,90.0,7.2,"$665,692,281"
148,183,Clash of the Titans,"$163,214,888","Action, Adventure, Fantasy",tt0800320,106.0,5.8,"$493,214,993"
149,184,The SpongeBob Movie: Sponge Out of Water,"$162,994,032","Animation, Adventure, Comedy",tt2279373,92.0,6.0,"$325,186,032"
