,Movie Title,Gross Revenue (USD),Genre
134,Rise of the Planet of the Apes,"$176,760,185","Action, Drama, Sci-Fi"
135,Captain America: The First Avenger,"$176,654,505","Action, Adventure, Sci-Fi"
136,The Karate Kid,"$176,591,618","Action, Drama, Family"
137,Get Out,"$176,040,665","Horror, Mystery, Thriller"
138,The Lego Batman Movie,"$175,750,384","Animation, Action, Comedy"
139,Us,"$175,084,580","Horror, Mystery, Thriller"
140,The Boss Baby,"$175,003,033","Animation, Adventure, Comedy"
141,Crazy Rich Asians,"$174,532,921","Comedy, Drama, Romance"
142,The Greatest Showman,"$174,340,174","Biography, Drama, Musical"
143,Fast & Furious Presents: Hobbs & Shaw,"$173,956,935","Action, Adventure"
144,Pirates of the Caribbean: Dead Men Tell No Tales,"$172,558,876","Action, Adventure, Fantasy"
145,TRON: Legacy,"$172,062,763","Action, Adventure, Sci-Fi"
146,Mary Poppins Returns,"$171,958,438","Comedy, Family, Fantasy"
147,True Grit,"$171,243,005","Drama, Western"
148,John Wick: Chapter 3 - Parabellum,"$171,015,687","Action, Crime, Thriller"
149,The Help,"$169,708,112",Drama
150,Hotel Transylvania 2,"$169,700,110","Animation, Comedy, Family"
151,Hidden Figures,"$169,607,287","Biography, Drama, History"
152,Bridesmaids,"$169,106,725","Comedy, Romance"
153,Kong: Skull Island,"$168,052,812","Action, Adventure, Fantasy"
154,Gone Girl,"$167,767,189","Drama, Mystery, Thriller"
155,Hotel Transylvania 3: Summer Vacation,"$167,510,016","Animation, Adventure, Comedy"
156,Fifty Shades of Grey,"$166,167,230","Drama, Romance, Thriller"
157,Knives Out,"$165,359,751","Comedy, Crime, Drama"
158,Kung Fu Panda 2,"$165,249,063","Animation, Action, Adventure"
159,Clash of the Titans,"$163,214,888","Action, Adventure, Fantasy"
160,The SpongeBob Movie: Sponge Out of Water,"$162,994,032","Animation, Adventure, Comedy"
161,Django Unchained,"$162,805,434","Drama, Western"
162,Jason Bourne,"$162,434,410","Action, Thriller"
163,Grown Ups,"$162,001,186",Comedy
164,Ice Age: Continental Drift,"$161,321,843","Animation, Adventure, Comedy"
165,Straight Outta Compton,"$161,197,785","Biography, Drama, History"
166,How to Train Your Dragon: The Hidden World,"$160,799,505","Animation, Action, Adventure"
167,The Heat,"$159,582,188","Action, Comedy, Crime"
168,Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901","Adventure, Family, Fantasy"
169,Halloween,"$159,342,015","Horror, Thriller"
170,1917,"$159,227,644","Drama, War"
171,The Secret Life of Pets 2,"$158,874,395","Animation, Adventure, Comedy"
172,Star Trek Beyond,"$158,848,340","Action, Adventure, Sci-Fi"
173,X-Men: Apocalypse,"$155,442,489","Action, Adventure, Sci-Fi"
174,Snow White and the Huntsman,"$155,332,381","Action, Adventure, Drama"
175,San Andreas,"$155,190,832","Action, Adventure, Drama"
176,Mad Max: Fury Road,"$154,058,340","Action, Adventure, Sci-Fi"
177,Trolls,"$153,707,064","Animation, Adventure, Comedy"
178,Cars 3,"$152,901,115","Animation, Adventure, Comedy"
179,La La Land,"$151,101,803","Comedy, Drama, Music"
180,Divergent,"$150,947,895","Action, Adventure, Mystery"
181,We're the Millers,"$150,394,119","Comedy, Crime"
182,Daddy's Home,"$150,357,137","Comedy, Family"
183,Neighbors,"$150,157,400",Comedy
184,American Hustle,"$150,117,807","Crime, Drama"
185,Puss in Boots,"$149,260,504","Animation, Adventure, Comedy"
186,Les Misérables,"$148,809,770","Drama, History, Musical"
187,Megamind,"$148,415,853","Animation, Action, Comedy"
188,Little Fockers,"$148,383,780","Comedy, Romance"
189,Hotel Transylvania,"$148,313,048","Animation, Comedy, Family"
190,War for the Planet of the Apes,"$146,880,162","Action, Adventure, Drama"
191,X: First Class,"$146,408,305","Action, Adventure, Sci-Fi"
192,The Great Gatsby,"$144,840,419","Drama, Romance"
193,Pokémon Detective Pikachu,"$144,105,346","Adventure, Comedy, Family"
194,Rio,"$143,619,809","Animation, Adventure, Comedy"
195,Kung Fu Panda 3,"$143,528,619","Animation, Action, Adventure"
196,The Meg,"$143,005,856","Action, Horror, Sci-Fi"
197,The Smurfs,"$142,614,158","Animation, Adventure, Comedy"
198,Once Upon a Time... in Hollywood,"$142,502,728","Comedy, Drama"
199,Shazam!,"$140,371,656","Action, Adventure, Comedy"
200,Ocean's 8,"$140,218,711","Action, Comedy, Crime"
201,Taken 2,"$139,854,287","Action, Thriller"
202,The King's Speech,"$138,797,449","Biography, Drama, History"
203,21 Jump Street,"$138,447,667","Action, Comedy, Crime"
204,Split,"$138,291,365","Horror, Thriller"
205,Ready Player One,"$137,690,172","Action, Adventure, Sci-Fi"
206,The Conjuring,"$137,400,141","Horror, Mystery, Thriller"
207,Argo,"$136,025,503","Biography, Drama, Thriller"
208,Ride Along,"$134,938,200","Action, Comedy, Crime"
209,Identity Thief,"$134,506,920","Comedy, Crime, Drama"
210,Grown Ups 2,"$133,668,525",Comedy
211,Alvin and the Chipmunks: Chipwrecked,"$133,110,742","Animation, Adventure, Comedy"
212,The Wolverine,"$132,556,852","Action, Adventure, Sci-Fi"
213,Wonder,"$132,422,809","Drama, Family"
214,Silver Linings Playbook,"$132,092,958","Comedy, Drama, Romance"
215,The Last Airbender,"$131,564,731","Action, Adventure, Family"
216,Rio 2,"$131,538,435","Animation, Adventure, Comedy"
217,Insurgent,"$130,179,072","Action, Adventure, Sci-Fi"
218,The Peanuts Movie,"$130,178,411","Animation, Comedy, Family"
219,Transformers: The Last Knight,"$130,168,683","Action, Adventure, Sci-Fi"
220,Ghostbusters,"$128,344,089","Action, Comedy, Fantasy"
221,Kingsman: The Secret Service,"$128,261,724","Action, Adventure, Comedy"
222,Shutter Island,"$128,012,934","Mystery, Thriller"
223,Into the Woods,"$128,002,372","Adventure, Comedy, Drama"
224,Central Intelligence,"$127,440,871","Action, Comedy, Crime"
225,Anchorman 2: The Legend Continues,"$127,352,707",Comedy
