,Movie Title,Genre,tconst,Runtime (min),IMDB Rating,Worldwide Box Office (USD),Domestic Box Office (USD),budget
137,TRON: Legacy,"Action, Adventure, Sci-Fi",tt1104001,125.0,6.8,400062763,172062763,170000000
138,Mary Poppins Returns,"Comedy, Family, Fantasy",tt5028340,130.0,6.9,349537494,171958438,130000000
139,True Grit,"Drama, Western",tt1403865,110.0,7.6,252276927,171243005,38000000
140,John Wick: Chapter 3 - Parabellum,"Action, Crime, Thriller",tt6146586,131.0,8.0,326709727,171015687,55000000
141,The Help,Drama,tt1454029,146.0,8.1,216639112,169708112,25000000
142,Hotel Transylvania 2,"Animation, Comedy, Family",tt2510894,89.0,6.7,474800000,169700110,80000000
143,Hidden Figures,"Biography, Drama, History",tt4846340,127.0,7.8,235956898,169607287,25000000
144,Bridesmaids,"Comedy, Romance",tt1478338,125.0,6.8,288383523,169106725,32500000
145,Kong: Skull Island,"Action, Adventure, Fantasy",tt3731562,118.0,6.6,566652812,168052812,185000000
146,Gone Girl,"Drama, Mystery, Thriller",tt2267998,149.0,8.1,369330363,167767189,61000000
147,Hotel Transylvania 3: Summer Vacation,"Animation, Adventure, Comedy",tt5220122,97.0,6.3,528583774,167510016,80000000
148,Fifty Shades of Grey,"Drama, Romance, Thriller",tt2322441,125.0,4.1,569651467,166167230,40000000
149,Knives Out,"Comedy, Crime, Drama",tt5961976,90.0,4.8,309232797,165359751,0
150,Kung Fu Panda 2,"Animation, Action, Adventure",tt1302011,90.0,7.2,665692281,165249063,150000000
151,Clash of the Titans,"Action, Adventure, Fantasy",tt0800320,106.0,5.8,493214993,163214888,125000000
152,The SpongeBob Movie: Sponge Out of Water,"Animation, Adventure, Comedy",tt2279373,92.0,6.0,325186032,162994032,74000000
153,Django Unchained,"Drama, Western",tt1853728,165.0,8.4,425368238,162805434,100000000
154,Jason Bourne,"Action, Thriller",tt4196776,123.0,6.6,415484914,162434410,120000000
155,Grown Ups,Comedy,tt1375670,102.0,6.0,271430189,162001186,80000000
156,Ice Age: Continental Drift,"Animation, Adventure, Comedy",tt1667889,88.0,6.6,877244782,161321843,95000000
157,Straight Outta Compton,"Biography, Drama, History",tt1398426,147.0,7.9,201634991,161197785,28000000
158,How to Train Your Dragon: The Hidden World,"Animation, Action, Adventure",tt2386490,104.0,7.6,521799505,160799505,129000000
159,The Heat,"Action, Comedy, Crime",tt2404463,117.0,6.6,229930771,159582188,43000000
160,Fantastic Beasts: The Crimes of Grindelwald,"Adventure, Family, Fantasy",tt4123430,134.0,6.6,654855901,159555901,200000000
161,Halloween,"Horror, Thriller",tt1502407,106.0,6.6,255485178,159342015,10000000
162,The Secret Life of Pets 2,"Animation, Adventure, Comedy",tt5113040,86.0,6.6,430051293,158874395,80000000
163,Star Trek Beyond,"Action, Adventure, Sci-Fi",tt2660888,122.0,7.1,343471816,158848340,185000000
