,Movie Title,Gross Revenue (USD),Genre,Runtime (min),IMDB Rating
166,Crazy Rich Asians,"$174,532,921","Comedy, Drama, Romance",120.0,7.0
167,The Greatest Showman,"$174,340,174","Biography, Drama, Musical",105.0,7.6
168,Pirates of the Caribbean: Dead Men Tell No Tales,"$172,558,876","Action, Adventure, Fantasy",129.0,6.6
169,TRON: Legacy,"$172,062,763","Action, Adventure, Sci-Fi",125.0,6.8
170,Mary Poppins Returns,"$171,958,438","Comedy, Family, Fantasy",130.0,6.9
171,True Grit,"$171,243,005","Drama, Western",110.0,7.6
172,John Wick: Chapter 3 - Parabellum,"$171,015,687","Action, Crime, Thriller",131.0,8.0
173,The Help,"$169,708,112",Drama,146.0,8.1
174,Hotel Transylvania 2,"$169,700,110","Animation, Comedy, Family",89.0,6.7
175,Hidden Figures,"$169,607,287","Biography, Drama, History",127.0,7.8
176,Bridesmaids,"$169,106,725","Comedy, Romance",125.0,6.8
177,Kong: Skull Island,"$168,052,812","Action, Adventure, Fantasy",118.0,6.6
178,Gone Girl,"$167,767,189","Drama, Mystery, Thriller",149.0,8.1
179,Hotel Transylvania 3: Summer Vacation,"$167,510,016","Animation, Adventure, Comedy",97.0,6.3
180,Fifty Shades of Grey,"$166,167,230","Drama, Romance, Thriller",125.0,4.1
181,Knives Out,"$165,359,751","Comedy, Crime, Drama",90.0,4.8
182,Kung Fu Panda 2,"$165,249,063","Animation, Action, Adventure",90.0,7.2
183,Clash of the Titans,"$163,214,888","Action, Adventure, Fantasy",106.0,5.8
184,The SpongeBob Movie: Sponge Out of Water,"$162,994,032","Animation, Adventure, Comedy",92.0,6.0
185,Django Unchained,"$162,805,434","Drama, Western",165.0,8.4
186,Jason Bourne,"$162,434,410","Action, Thriller",123.0,6.6
187,Grown Ups,"$162,001,186",Comedy,102.0,6.0
188,Ice Age: Continental Drift,"$161,321,843","Animation, Adventure, Comedy",88.0,6.6
189,Straight Outta Compton,"$161,197,785","Biography, Drama, History",147.0,7.9
190,How to Train Your Dragon: The Hidden World,"$160,799,505","Animation, Action, Adventure",104.0,7.6
191,The Heat,"$159,582,188","Action, Comedy, Crime",117.0,6.6
192,Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901","Adventure, Family, Fantasy",134.0,6.6
193,Halloween,"$159,342,015","Horror, Thriller",106.0,6.6
194,The Secret Life of Pets 2,"$158,874,395","Animation, Adventure, Comedy",86.0,6.6
195,Star Trek Beyond,"$158,848,340","Action, Adventure, Sci-Fi",122.0,7.1
196,X-Men: Apocalypse,"$155,442,489","Action, Adventure, Sci-Fi",144.0,7.0
197,Snow White and the Huntsman,"$155,332,381","Action, Adventure, Drama",127.0,6.1
198,San Andreas,"$155,190,832","Action, Adventure, Drama",114.0,6.1
199,Mad Max: Fury Road,"$154,058,340","Action, Adventure, Sci-Fi",120.0,8.1
200,Trolls,"$153,707,064","Animation, Adventure, Comedy",92.0,6.5
201,Cars 3,"$152,901,115","Animation, Adventure, Comedy",102.0,6.8
202,La La Land,"$151,101,803","Comedy, Drama, Music",128.0,8.0
203,Divergent,"$150,947,895","Action, Adventure, Mystery",139.0,6.7
204,We're the Millers,"$150,394,119","Comedy, Crime",110.0,7.0
205,Daddy's Home,"$150,357,137","Comedy, Family",96.0,6.2
207,Neighbors,"$150,157,400",Comedy,97.0,6.3
209,American Hustle,"$150,117,807","Crime, Drama",138.0,7.2
210,Puss in Boots,"$149,260,504","Animation, Adventure, Comedy",90.0,6.6
211,Les Misérables,"$148,809,770","Drama, History, Musical",102.0,7.4
213,Megamind,"$148,415,853","Animation, Action, Comedy",95.0,7.3
214,Little Fockers,"$148,383,780","Comedy, Romance",98.0,5.5
215,Hotel Transylvania,"$148,313,048","Animation, Comedy, Family",91.0,7.1
216,War for the Planet of the Apes,"$146,880,162","Action, Adventure, Drama",140.0,7.5
217,The Great Gatsby,"$144,840,419","Drama, Romance",143.0,7.3
218,Pokémon Detective Pikachu,"$144,105,346","Adventure, Comedy, Family",104.0,6.9
